YIELD1,YIELD2,YIELD3,YIELD4
10.39,5.54,5.77,6.61
8.49,4.39,8.65,6.86
6.12,4.07,6.34,6.04
10.6,4.77,3.93,6.08
8.6,4.4,5.58,3.51
9.58,4.13,0.76,4.81
9.32,6.43,8.65,4.84
10.33,4.83,3.27,5.8
9.49,4.48,4.0,5.96
5.52,5.36,2.83,4.16
6.08,4.71,0.92,3.05
9.28,5.96,6.56,8.03
11.35,6.7,2.55,5.42
11.21,4.26,2.69,8.73
11.46,5.87,2.96,5.68
11.12,3.63,1.74,3.21
11.33,3.86,2.28,7.15
10.38,5.09,3.88,3.33
8.52,5.8,3.93,10.23
9.96,4.93,6.17,9.12
8.52,3.63,3.06,4.4
9.63,5.88,1.35,6.31
7.0,3.75,5.86,5.42
8.86,4.68,5.73,4.4
9.99,5.86,0.0,6.2
7.26,4.18,7.0,8.41
9.72,4.02,0.18,3.77
9.56,4.14,1.07,5.57
10.62,4.17,2.32,6.28
9.62,3.48,1.36,3.51
8.98,5.69,5.82,7.01
9.89,3.99,2.14,5.85
9.68,3.93,0.43,4.36
9.78,6.23,4.15,7.09
9.63,6.67,1.12,7.68
11.79,3.61,2.48,5.33
11.08,5.47,2.44,7.64
9.09,5.59,3.77,6.79
8.14,5.25,0.5,4.26
10.09,4.63,3.48,5.07
11.53,7.55,2.02,6.84
10.6,4.21,3.57,4.67
6.65,7.64,3.15,6.78
7.92,6.43,0.74,4.99
10.69,6.93,2.16,4.87
12.46,4.14,3.42,8.16
11.59,5.56,4.43,7.63
9.0,4.61,1.56,5.28
10.49,7.06,2.65,7.69
8.58,4.15,2.57,4.63
9.44,4.11,1.97,7.26
8.8,4.17,2.5,6.99
8.43,9.0,4.77,9.05
10.01,6.5,3.42,8.02
8.09,4.23,2.81,7.26
7.37,4.51,7.61,7.33
11.17,6.77,2.04,6.02
10.66,7.75,2.47,7.23
9.41,6.65,1.05,5.28
8.97,6.24,1.7,4.96
11.74,8.24,6.55,6.77
9.32,6.25,0.08,4.29
8.25,6.16,4.59,7.15
12.22,6.68,5.75,7.04
8.31,7.31,4.02,7.93
7.82,6.31,8.53,9.26
8.8,4.1,0.13,4.77
7.55,8.13,0.0,5.21
13.28,7.15,2.39,8.19
4.27,4.47,1.94,5.46
8.76,4.09,3.27,7.11
4.98,4.78,3.22,6.01
11.35,4.49,0.92,5.47
7.59,6.07,2.45,9.09
10.94,4.86,3.84,7.07
11.86,5.65,4.66,7.57
5.33,3.42,1.74,5.19
10.15,6.24,3.92,9.24
10.23,4.8,8.65,9.36
10.72,4.61,2.43,6.16
9.8,4.24,1.35,3.24
11.53,4.58,5.35,9.02
